01:46,01:56,Player 2,Player 3,
01:50,02:00,Player 3,Player 1,
01:52,02:02,Player 1,Player 3,
01:54,02:04,Player 3,Player 2,
01:55,02:05,Player 2,Player 1,
01:59,02:09,Player C,Player D,
02:00,02:10,Player D,Player B,Score 1
02:12,02:22,Player D,Player C,
02:13,02:28,Player C,Player D,
02:23,02:33,Player D,Player C,
02:24,02:34,Player C,Player D,
02:28,02:40,Player D,Player B,Score 1
02:40,03:00,Player B,Player E,
02:57,03:07,Player E,Player D,
02:59,03:09,Player D,Player C,
03:07,03:17,Player 1,Player 3,
03:08,03:18,Player 3,Player 1,
03:14,03:24,Player 1,,
03:18,03:28,Player E,Player C,Score 1
03:28,03:38,Player D,Player E,
03:29,03:39,Player E,Player B,
03:33,03:43,Player B,,
03:39,03:49,Player 3,,Score 2
03:46,03:56,Player 3,Player 1,
03:47,03:57,Player 1,Player 2,
03:53,04:03,Player 2,Player 3,
03:58,04:08,Player 3,Player 4,
04:05,04:15,Player B,Player D,
04:16,04:26,Player 2,Player 3,
04:19,04:29,Player 3,Player 5,
04:20,04:30,Player 5,Player 3,
04:21,04:31,Player 3,,
04:24,04:34,Player D,Player C,Score 1
04:31,04:41,Player C,Player A,
04:32,04:46,Player A,Player E,
04:42,04:52,Player E,,
04:44,04:54,Player 5,Player 1,
04:51,05:01,Player 1,,
04:55,05:05,Player D,Player C,
04:56,05:06,Player C,Player A,
04:58,05:08,Player A,Player D,
05:00,05:10,Player D,,
05:04,05:14,Player 3,Player 2,
05:04,05:15,Player 2,Player 5,Score 2
05:15,05:25,Player 5,Player 3,
05:16,05:26,Player 3,Player 5,
05:20,05:30,Player 5,Player 3,
05:23,05:33,Player E,,Score 1
05:32,05:42,Player E,Player A,
05:33,05:47,Player A,Player E,
05:43,05:53,Player E,Player C,Score 1
05:51,06:02,Player A,Player E,
05:58,06:08,Player E,Player A,
06:07,06:17,Player 1,Player 4,
06:09,06:20,Player 4,Player 5,
06:16,06:26,Player 5,,
06:25,06:35,Player E,Player C,
06:26,06:37,Player C,Player D,
06:33,06:43,Player D,Player C,
06:34,06:44,Player C,Player D,
06:35,06:45,Player D,Player A,Score 1
06:44,06:54,Player A,,
06:56,07:06,Player 4,,
06:57,07:07,Player D,Player E,Score 1
